Index,Arithmancy,Herbology,Defense Against the Dark Arts,Divination,Muggle Studies,Ancient Runes,History of Magic,Transfiguration,Potions,Care of Magical Creatures,Charms,Flying,Slytherin,Gryffindor,Hufflepuff,Ravenclaw,Hogwarts House
0,58384.0,5.727180298550763,4.8788608595139005,4.722,272.0358314131986,532.4842261151226,5.231058287281048,1039.7882807428462,3.7903690663529614,0.7159391270136213,-232.79405,-26.89,2.0429958625193247,1.3245385847194309,8.471026515154517,93.50286889686006,Ravenclaw
1,67239.0,-5.987445780050746,5.520605073421985,-5.612,-487.3405572673422,367.7603030171392,4.107170286816076,1058.9445920642218,7.248741976146588,0.091674183916857,-252.18425,-113.45,99.30172244978652,0.8883934086139588,3.310975946489661,1.346747392200959,Slytherin
2,23702.0,7.7250166064392305,3.6607611688232367,6.14,664.8935212343011,602.5852838484592,3.5555789956034967,1088.0883479121803,8.728530920939827,-0.5153268462809037,-227.34265,30.42,0.8169627364336284,1.2156125043806696,2.700729010293155,99.14460154515568,Ravenclaw
3,32667.0,-6.497214444598551,-6.9774280884246895,4.026,-537.0011283872882,523.9821331934736,-4.8096366069645935,920.391449310792,0.8219105005879808,-0.0140404172390529,-256.84675,200.64,1.3938204161138792,99.74458131935506,4.660319284022438,0.17867737138886602,Gryffindor
4,60158.0,-7.820623052454388,-0.3878634974417858,2.236,-444.2625366004496,599.3245143172293,-3.4443765754165385,937.4347240534976,4.311065821291761,-0.2640700765443832,-256.3873,157.98,14.475871773252727,99.10222444764825,0.1405625461673856,1.9356472109290983,Gryffindor
5,21209.0,-4.289196726941419,6.136871603822727,-6.5920000000000005,-440.99770426820817,396.20180391410247,5.3802859494804585,1052.8451637299704,11.751212035101071,1.049894068203692,-247.94549,-34.69,99.38516100457022,1.3991365109384324,0.7569992366934486,2.786918475347334,Slytherin
6,49167.0,-4.861976240490781,-6.280460512248515,3.153909673286352,-926.8925116349668,583.7424423327342,-7.322486416427907,923.5395732944658,1.6466661386700716,0.1530218296077356,-257.83447,261.55,1.3922737120837727,99.88615518677425,2.666811508716128,0.14890999683275608,Gryffindor
7,33010.0,5.931831618301035,-4.114127268406701,2.769,-502.0213360777252,439.3514157413572,2.9630946151165927,1041.091935399735,6.58179131885481,-0.171704452341019,-244.03492000000003,72.25,3.4846693813276133,6.1792528791851,85.83815653630184,2.899115552761037,Hufflepuff
8,20278.0,-5.215891145868072,-4.963949449852823,5.855,-626.552041128547,567.8424015938325,-6.198661229053442,925.2555003872844,1.0865178213133744,1.1470315267700957,-252.27561,244.11,0.4822006927612882,99.85985527150729,1.9880138914837266,0.593813544764876,Gryffindor
9,46316.0,7.922205496177112,-5.271935850836812,3.3560000000000003,-398.1019908932312,341.47560564416693,4.978613530314481,1041.4146653613177,2.068824178512835,-0.529578503638637,-244.57527,-0.09,1.716442652222568,1.1587979385917648,99.30608623790576,1.5107544899974223,Hufflepuff
